9.975670590287533113e-02,1.706538343179772599e-01,-8.539809410107731397e-03,2.732637978497376441e-02,-2.143735339945391505e-01,-5.011683862927932553e-01
1.078874170088486989e-01,1.535343707566755589e-01,-9.166246772694978603e-03,1.821352567502835043e-02,-1.953771885353871585e-01,-4.538257699607370355e-01
1.138382676735731902e-01,1.381254300270836899e-01,-9.486065705106332818e-03,1.135048635175926399e-02,-1.777090412023404342e-01,-4.102822968377462520e-01
1.180989062211676432e-01,1.242570831663572656e-01,-9.572830600669620868e-03,1.428948304957114446e-04,-1.616445427376023425e-01,-3.742394251858895959e-01
1.207325798748416501e-01,1.117770959365294720e-01,-9.464944745737157231e-03,-8.919779720503121651e-03,-1.470134011626880732e-01,-3.418573897124136951e-01
1.221784561332247693e-01,1.005466494820929924e-01,-9.214978612965151264e-03,-1.691812969882323936e-02,-1.337931403992094481e-01,-3.138470303261989280e-01
1.222752281118935636e-01,9.044262206936111437e-02,-8.842411820290586866e-03,-2.252270643981736653e-02,-1.217964494738401626e-01,-2.876040375339967703e-01
1.216627971927646407e-01,8.135091672659494622e-02,-8.393199395577585070e-03,-2.517943316320940886e-02,-1.108755158363454035e-01,-2.630077808258700078e-01
1.199856350817381512e-01,7.317235834612781376e-02,-7.876538817814204146e-03,-2.801675597500124376e-02,-1.010793675089620425e-01,-2.411179973308127111e-01
1.177353872592045575e-01,6.581434434267648126e-02,-7.321340279972225057e-03,-2.882881499763253683e-02,-9.216129825534452591e-02,-2.202709512063792396e-01
1.148508377402542857e-01,5.919546069337099092e-02,-6.741357606635073677e-03,-2.911834804338636964e-02,-8.410872025492731330e-02,-2.010768199888495200e-01
1.115315069756676603e-01,5.324135051874732960e-02,-6.151273181606362397e-03,-2.826017292376314591e-02,-7.679091130699051970e-02,-1.828793665881759123e-01
1.078347102441633704e-01,4.788554560716852537e-02,-5.562193087174325049e-03,-2.681038014775297129e-02,-7.015748717664277434e-02,-1.658613161731468388e-01
1.038546885348250459e-01,4.306802488661374412e-02,-4.983128594463970100e-03,-2.489682715664771201e-02,-6.414064079705933397e-02,-1.499954028305877374e-01
9.966406977503074194e-02,3.873480053555395514e-02,-4.421256333276083958e-03,-2.279007728911735045e-02,-5.868741655208054714e-02,-1.353552481927530193e-01
9.533598878153355660e-02,3.483724085485276345e-02,-3.881878945957244892e-03,-2.069966304090824910e-02,-5.374687992462763575e-02,-1.219939711710766317e-01
